Problem,n,m,Time,Kurtosis,N,Obj
Generator_10M_1_7.mat,10,10000000,3.977737,1.20205366005227,20,4.69605575794727
Generator_10M_1_7.mat,10,10000000,3.968483,1.18905562766767,20,-19.1555457403368
Generator_10M_1_7.mat,10,10000000,3.967426,1.18776580703407,20,-42.2650316064203
Generator_10M_1_8.mat,10,10000000,4.620876,2.27989888217961,20,93.6717505708583
Generator_10M_1_8.mat,10,10000000,4.625619,1.41377307260775,20,24.6249346094609
Generator_10M_1_8.mat,10,10000000,4.629761,1.24442171333136,20,-3.49010904616934
Generator_10M_1_8.mat,10,10000000,4.621636,1.22790065611961,20,-27.0332492383082
Generator_10M_1_8.mat,10,10000000,4.630326,1.22626260087171,20,-50.1109147590078
Generator_10M_1_9.mat,10,10000000,4.21963,2.43305988494328,20,110.717917078181
Generator_10M_1_9.mat,10,10000000,4.218074,1.30150482360687,20,36.7415842479759
Generator_10M_1_9.mat,10,10000000,4.215002,1.17886482617296,20,6.61860212244969
Generator_10M_1_9.mat,10,10000000,4.220554,1.16735251844712,20,-17.1584673750019
Generator_10M_1_9.mat,10,10000000,4.228927,1.16621354889205,20,-40.2598856442908
Generator_10M_2_1.mat,20,10000000,8.9787,2.97584705673193,40,233.649143646439
Generator_10M_2_1.mat,20,10000000,13.647509,1.2897352226542,40,88.8627305955388
Generator_10M_2_1.mat,20,10000000,9.811317,1.14662949093934,40,28.2310719481461
Generator_10M_2_1.mat,20,10000000,9.170985,1.13377287451682,40,-19.3829965185569
Generator_10M_2_1.mat,20,10000000,9.016462,1.13250870988475,40,-65.5921110925596
Generator_10M_2_10.mat,20,10000000,8.418299,2.28719941518049,40,222.825589452469
Generator_10M_2_10.mat,20,10000000,8.413869,1.2769251715344,40,88.369721680808
Generator_10M_2_10.mat,20,10000000,8.566424,1.15560301261254,40,29.4571874057052
Generator_10M_2_10.mat,20,10000000,8.555785,1.14397634281082,40,-17.9608747549201
Generator_10M_2_10.mat,20,10000000,8.451983,1.14282481371847,40,-64.1501115225741
Generator_10M_2_2.mat,20,10000000,8.904751,2.83012141253659,40,247.316723304714
Generator_10M_2_2.mat,20,10000000,9.453931,1.30198204047465,40,90.512141314252
Generator_10M_2_2.mat,20,10000000,9.145273,1.15286413811952,40,29.1798381580571
Generator_10M_2_2.mat,20,10000000,8.980876,1.13921152973876,40,-18.4877724175922
Generator_10M_2_2.mat,20,10000000,9.29473,1.13786694556087,40,-64.7020201614937
Generator_10M_2_3.mat,20,10000000,8.916706,2.62181528143075,40,254.457593902342
